,flux,unix_time
460,24.0,1651833983.414448
461,24.0,1651833983.516765
462,24.0,1651833983.6190088
463,24.0,1651833983.7174516
464,24.0,1651833983.8198972
465,24.0,1651833983.9221356
466,24.0,1651833984.020413
467,24.0,1651833984.1225955
468,24.0,1651833984.2252872
469,24.0,1651833984.3237963
470,24.0,1651833984.426052
471,24.0,1651833984.5284705
472,24.0,1651833984.6268284
473,24.0,1651833984.729151
474,24.0,1651833984.827448
475,24.0,1651833984.9299493
476,24.0,1651833985.0322905
477,24.0,1651833985.1305275
478,24.0,1651833985.232911
479,24.0,1651833985.335205
480,24.0,1651833985.4336543
481,24.0,1651833985.5359924
482,24.0,1651833985.63813
483,24.0,1651833985.7368164
484,24.0,1651833985.8390179
485,24.0,1651833985.9413192
486,24.0,1651833986.0397613
487,24.0,1651833986.142077
488,24.0,1651833986.244386
489,24.0,1651833986.342583
490,24.0,1651833986.4449024
491,24.0,1651833986.5475168
492,24.0,1651833986.6458132
493,24.0,1651833986.748306
494,24.0,1651833986.8505988
495,24.0,1651833986.949019
496,24.0,1651833987.0513268
497,24.0,1651833987.1499708
498,24.0,1651833987.2523067
499,24.0,1651833987.3544443
500,24.0,1651833987.452884
501,24.0,1651833987.5553792
502,24.0,1651833987.6575568
503,24.0,1651833987.7559252
504,24.0,1651833987.8582091
505,24.0,1651833987.960592
506,24.0,1651833988.0592396
507,24.0,1651833988.161374
508,24.0,1651833988.2637384
509,24.0,1651833988.3621998
510,24.0,1651833988.464402
511,24.0,1651833988.5669103
512,24.0,1651833988.6652997
513,24.0,1651833988.7674859
514,24.0,1651833988.8699954
515,24.0,1651833988.9683263
516,24.0,1651833989.070576
517,24.0,1651833989.1691136
518,24.0,1651833989.2714932
519,24.0,1651833989.3738697
520,24.0,1651833989.472047
521,24.0,1651833989.5743923
522,24.0,1651833989.6768875
523,24.0,1651833989.7750847
524,24.0,1651833989.8775814
525,24.0,1651833989.980018
526,24.0,1651833990.0781946
527,24.0,1651833990.1805897
528,24.0,1651833990.2829583
529,24.0,1651833990.3814468
530,24.0,1651833990.4833367
531,24.0,1651833990.58607
532,24.0,1651833990.6843998
533,24.0,1651833990.7869282
534,24.0,1651833990.8892186
535,24.0,1651833990.9874563
536,24.0,1651833991.089835
537,24.0,1651833991.1923678
538,24.0,1651833991.290603
539,24.0,1651833991.3929617
540,24.0,1651833991.491339
541,24.0,1651833991.593583
542,24.0,1651833991.6961899
543,24.0,1651833991.7942975
544,24.0,1651833991.8968506
545,24.0,1651833991.999044
546,24.0,1651833992.097473
547,24.0,1651833992.1999567
548,24.0,1651833992.3021345
549,24.0,1651833992.400643
550,24.0,1651833992.5030065
551,24.0,1651833992.605317
552,24.0,1651833992.7036324
553,24.0,1651833992.8060532
554,24.0,1651833992.9084196
555,24.0,1651833993.00666
556,24.0,1651833993.1089573
557,24.0,1651833993.2114608
