,flux,unix_time
116,12.0,1658132893.408118
117,12.0,1658132893.457308
118,12.0,1658132893.5106587
119,12.0,1658132893.559637
120,12.0,1658132893.613011
121,12.0,1658132893.6620038
122,12.0,1658132893.7152827
123,12.0,1658132893.76454
124,12.0,1658132893.8136594
125,12.0,1658132893.867054
126,12.0,1658132893.9160774
127,12.0,1658132893.9691133
128,12.0,1658132894.0186355
129,12.0,1658132894.0715775
130,12.0,1658132894.1214492
131,12.0,1658132894.174237
132,12.0,1658132894.2231164
133,12.0,1658132894.272646
134,12.0,1658132894.325512
135,12.0,1658132894.3748977
136,12.0,1658132894.4281285
137,12.0,1658132894.477158
138,12.0,1658132894.5305536
139,12.0,1658132894.57941
140,12.0,1658132894.6327286
141,12.0,1658132894.6823623
142,12.0,1658132894.7310636
143,12.0,1658132894.7843256
144,12.0,1658132894.8335927
145,12.0,1658132894.8865547
146,12.0,1658132894.936014
147,12.0,1658132894.9889514
148,12.0,1658132895.0384514
149,12.0,1658132895.0874612
150,12.0,1658132895.1407812
151,12.0,1658132895.1898952
152,12.0,1658132895.242785
153,12.0,1658132895.2922375
154,12.0,1658132895.3458164
155,12.0,1658132895.3943708
156,12.0,1658132895.4476013
157,12.0,1658132895.4970555
158,12.0,1658132895.5462832
159,12.0,1658132895.5993667
160,12.0,1658132895.648456
161,12.0,1658132895.701787
162,12.0,1658132895.7511086
163,12.0,1658132895.8041892
164,12.0,1658132895.8533797
165,12.0,1658132895.90256
166,12.0,1658132895.9557176
167,12.0,1658132896.0050755
168,12.0,1658132896.0580878
169,12.0,1658132896.1073465
170,12.0,1658132896.16064
171,12.0,1658132896.2095397
172,12.0,1658132896.2628741
173,12.0,1658132896.3118503
174,12.0,1658132896.361057
175,12.0,1658132896.4143496
176,12.0,1658132896.463648
177,12.0,1658132896.5170963
178,12.0,1658132896.565859
179,12.0,1658132896.6192062
180,12.0,1658132896.6689
181,12.0,1658132896.7213728
182,12.0,1658132896.770761
183,12.0,1658132896.8199427
184,12.0,1658132896.873328
185,12.0,1658132896.9222932
186,12.0,1658132896.9756503
187,12.0,1658132897.025131
188,12.0,1658132897.0783286
189,12.0,1658132897.1274776
190,12.0,1658132897.176723
191,12.0,1658132897.2294366
192,12.0,1658132897.2793446
193,12.0,1658132897.3318226
194,12.0,1658132897.3812344
195,12.0,1658132897.4344761
196,12.0,1658132897.4834843
197,12.0,1658132897.53651
198,12.0,1658132897.5858762
199,12.0,1658132897.6350634
200,12.0,1658132897.6880925
201,12.0,1658132897.7375247
202,12.0,1658132897.7907448
203,12.0,1658132897.839873
204,12.0,1658132897.892908
205,12.0,1658132897.9428575
206,12.0,1658132897.995446
207,12.0,1658132898.044523
208,12.0,1658132898.0939033
209,12.0,1658132898.146917
210,12.0,1658132898.1960022
211,12.0,1658132898.2493796
212,12.0,1658132898.2984717
213,12.0,1658132898.3517294
214,12.0,1658132898.4008114
215,12.0,1658132898.4501789
216,12.0,1658132898.503129
217,12.0,1658132898.5526712
218,12.0,1658132898.605945
219,12.0,1658132898.654768
220,12.0,1658132898.7081695
221,12.0,1658132898.7575834
222,12.0,1658132898.8106682
223,12.0,1658132898.8595808
224,12.0,1658132898.9088187
225,12.0,1658132898.9624686
226,12.0,1658132899.0112054
227,12.0,1658132899.0644104
