,flux,unix_time
161,23.0,1651834376.1233602
162,23.0,1651834376.2256553
163,23.0,1651834376.3240426
164,23.0,1651834376.4265308
165,23.0,1651834376.528845
166,23.0,1651834376.6267893
167,23.0,1651834376.7295694
168,23.0,1651834376.8319666
169,23.0,1651834376.9302173
170,23.0,1651834377.0326514
171,23.0,1651834377.1349525
172,23.0,1651834377.2332757
173,23.0,1651834377.3357193
174,23.0,1651834377.434244
175,23.0,1651834377.53646
176,23.0,1651834377.6387007
177,23.0,1651834377.7371495
178,23.0,1651834377.8396015
179,23.0,1651834377.9418278
180,22.5,1651834378.0400293
181,22.25,1651834378.1426172
182,21.62,1651834378.2449114
183,21.31,1651834378.3434868
184,20.66,1651834378.4456072
185,20.33,1651834378.548036
186,20.16,1651834378.6463351
187,19.08,1651834378.7488189
188,18.04,1651834378.85109
189,17.02,1651834378.9495423
190,16.51,1651834379.0518272
191,16.26,1651834379.1543083
192,15.63,1651834379.252543
193,15.31,1651834379.354806
194,15.16,1651834379.4572475
195,15.08,1651834379.5557349
196,15.54,1651834379.6579065
197,15.77,1651834379.7561753
198,15.88,1651834379.858659
199,15.94,1651834379.961175
200,15.97,1651834380.0593786
201,15.99,1651834380.16181
202,16.49,1651834380.264141
203,17.75,1651834380.3623314
204,18.87,1651834380.4650435
205,19.44,1651834380.5671725
206,19.72,1651834380.6657908
207,20.36,1651834380.7679908
208,20.68,1651834380.8701577
209,21.34,1651834380.968679
210,22.17,1651834381.0710142
211,22.58,1651834381.1734858
212,22.79,1651834381.2717745
213,22.9,1651834381.3741457
214,22.95,1651834381.4764767
215,22.97,1651834381.5749066
216,22.99,1651834381.6771934
217,22.99,1651834381.779568
218,23.0,1651834381.8780248
219,23.0,1651834381.9803057
220,23.0,1651834382.0826437
221,23.0,1651834382.181127
222,23.0,1651834382.2836354
223,23.0,1651834382.3819141
224,23.0,1651834382.4841473
225,23.0,1651834382.586525
226,23.0,1651834382.6848116
227,23.0,1651834382.7873642
228,23.0,1651834382.889603
229,23.0,1651834382.9878664
230,23.0,1651834383.0904403
231,23.0,1651834383.192543
232,23.0,1651834383.291125
233,23.0,1651834383.3935094
234,23.0,1651834383.4957042
235,23.0,1651834383.5941808
236,23.0,1651834383.696437
237,23.0,1651834383.7988672
238,23.0,1651834383.897162
239,23.0,1651834383.9995582
240,23.0,1651834384.101782
241,23.0,1651834384.200324
242,23.0,1651834384.3026161
243,23.0,1651834384.4049113
244,23.0,1651834384.5034578
245,23.0,1651834384.6058505
246,23.0,1651834384.7041807
247,23.0,1651834384.806342
248,23.0,1651834384.9088655
249,23.0,1651834385.0071087
250,23.0,1651834385.1096642
251,23.0,1651834385.211905
252,23.0,1651834385.3103855
253,23.0,1651834385.412692
254,23.0,1651834385.5150652
255,23.0,1651834385.613415
256,23.0,1651834385.7158515
257,23.0,1651834385.8180194
258,23.0,1651834385.9165254
259,23.0,1651834386.0186677
260,23.0,1651834386.121083
261,23.0,1651834386.21951
262,23.0,1651834386.3218474
263,23.0,1651834386.424208
264,23.0,1651834386.5226624
265,23.0,1651834386.6250083
266,23.0,1651834386.7272823
267,23.0,1651834386.8257551
268,23.0,1651834386.9281626
269,23.0,1651834387.0264096
270,23.0,1651834387.1287563
271,23.0,1651834387.231312
272,23.0,1651834387.3297203
273,23.0,1651834387.4320645
274,23.0,1651834387.5341792
275,23.0,1651834387.6326675
276,23.0,1651834387.7350512
277,23.0,1651834387.8372219
278,23.0,1651834387.9356894
279,23.0,1651834388.0380127
280,23.0,1651834388.1404107
281,23.0,1651834388.2388952
282,23.0,1651834388.3411415
283,23.0,1651834388.4436681
284,23.0,1651834388.5418298
285,23.0,1651834388.6442473
286,23.0,1651834388.7463822
287,23.0,1651834388.8450215
288,23.0,1651834388.94701
289,23.0,1651834389.049699
290,23.0,1651834389.148041
291,23.0,1651834389.2504182
292,23.0,1651834389.3488207
293,23.0,1651834389.451008
294,23.0,1651834389.5535429
295,23.0,1651834389.651835
296,23.0,1651834389.7540894
297,23.0,1651834389.8563905
298,23.0,1651834389.955009
299,23.0,1651834390.0572379
300,23.0,1651834390.1595376
301,23.0,1651834390.2578704
302,23.0,1651834390.360253
303,23.0,1651834390.4627361
304,23.0,1651834390.5611663
305,23.0,1651834390.6635742
306,23.0,1651834390.7657359
307,23.0,1651834390.8641288
308,23.0,1651834390.9664786
309,23.0,1651834391.068833
310,23.0,1651834391.1671526
311,23.0,1651834391.2696626
312,23.0,1651834391.3719099
313,23.0,1651834391.4703028
314,23.0,1651834391.5727618
315,23.0,1651834391.6711447
316,23.0,1651834391.7733514
317,23.0,1651834391.8756695
318,23.0,1651834391.974101
319,23.0,1651834392.0765238
320,23.0,1651834392.1788797
321,23.0,1651834392.2772713
322,23.0,1651834392.3797421
323,23.0,1651834392.4819338
324,23.0,1651834392.5803401
325,23.0,1651834392.6826608
326,23.0,1651834392.7850196
327,23.0,1651834392.8837917
328,23.0,1651834392.985492
329,23.0,1651834393.087903
330,23.0,1651834393.1863248
